latitude,longitude,time,borehole,depth,frozen,cryostructures,visible_ice,ASTM_2488,materials,organic_cover,top_of_interval,bottom_of_interval
69.16162,-133.08682,2012-03-21T00:00:00Z,0170-1-10,0.15,0,,,TOPSOIL,Organics,0.3,0,0.3
69.16162,-133.08682,2012-03-21T00:00:00Z,0170-1-10,0.85,1,,Pure ice,ICE,Ice,0.3,0.3,1.4
69.16162,-133.08682,2012-03-21T00:00:00Z,0170-1-10,1.9,1,Nf,No visible ice,SW-SM,Coarse till,0.3,1.4,2.4
69.16162,-133.08682,2012-03-21T00:00:00Z,0170-1-10,5.4,1,Nf,No visible ice,GW-GM,Coarse till,0.3,2.4,8.4
69.16105,-133.0888,2012-03-21T00:00:00Z,0170-1-12,1.2,1,Nf,No visible ice,GP-GM,Coarse till,0,0,2.4
69.16105,-133.0888,2012-03-21T00:00:00Z,0170-1-12,3.95,1,Nf,No visible ice,SM,Sand,0,2.4,5.5
69.16105,-133.0888,2012-03-21T00:00:00Z,0170-1-12,6.1,1,Nf,No visible ice,ICE,Ice,0,5.5,6.7
69.15849,-133.08865,2012-03-20T00:00:00Z,0170-1-17,0.3,0,,,ML,Silt,0,0,0.6
69.15849,-133.08865,2012-03-20T00:00:00Z,0170-1-17,1.45,1,,No visible ice,SM-SC,Sand,0,0.6,2.3
69.15849,-133.08865,2012-03-20T00:00:00Z,0170-1-17,3.45,1,,Pure ice,ICE,Ice,0,2.3,4.6
69.15849,-133.08865,2012-03-20T00:00:00Z,0170-1-17,4.75,1,,High,ML,Silt,0,4.6,4.9
69.15908,-133.08968,2012-03-20T00:00:00Z,0170-1-18,0.05,0,,,ORGANICS,Organics,0.1,0,0.1
69.15908,-133.08968,2012-03-20T00:00:00Z,0170-1-18,1.2,1,,No visible ice,ML,Silt,0.1,0.1,2.3
69.15908,-133.08968,2012-03-20T00:00:00Z,0170-1-18,3.3,1,,Pure ice,ICE,Ice,0.1,2.3,4.3
69.15908,-133.08968,2012-03-20T00:00:00Z,0170-1-18,4.75,1,,High,ML,Silt,0.1,4.3,5.2
69.15908,-133.08968,2012-03-20T00:00:00Z,0170-1-18,5.35,1,,No visible ice,ML,Silt,0.1,5.2,5.5
69.15908,-133.08968,2012-03-20T00:00:00Z,0170-1-18,6.2,1,,High,SM,Sand,0.1,5.5,6.9
69.15886,-133.0909,2012-03-21T00:00:00Z,0170-1-19,1.2,1,Nf,No visible ice,GP,Gravel,0,0,2.4
69.15886,-133.0909,2012-03-21T00:00:00Z,0170-1-19,3.8,1,,Pure ice,ICE,Ice,0,2.4,5.2
69.15886,-133.0909,2012-03-21T00:00:00Z,0170-1-19,5.65,1,,High,SP,Coarse till,0,5.2,6.1
69.15886,-133.0909,2012-03-21T00:00:00Z,0170-1-19,6.5,1,,Medium to high,GP,Gravel,0,6.1,6.9
69.16384,-133.08447,2012-03-22T00:00:00Z,0170-1-2,0.15,0,,,GM,Coarse till,0,0,0.3
69.16384,-133.08447,2012-03-22T00:00:00Z,0170-1-2,1.35,1,,No visible ice,GM,Coarse till,0,0.3,2.4
69.16384,-133.08447,2012-03-22T00:00:00Z,0170-1-2,3.25,1,Vc/Vs,Low,SM-SC,Sand,0,2.4,4.1
69.16384,-133.08447,2012-03-22T00:00:00Z,0170-1-2,5.4,1,,Pure ice,ICE,Ice,0,4.1,6.7
69.15767,-133.08878,2012-03-21T00:00:00Z,0170-1-21,0.75,1,,No visible ice,SM,Sand,0,0,1.5
69.15767,-133.08878,2012-03-21T00:00:00Z,0170-1-21,3.8,1,,Pure ice,ICE,Ice,0,1.5,6.1
69.15728,-133.0844,2012-03-19T00:00:00Z,0170-1-24,0.15,0,,,ORGANICS,Organics,0.3,0,0.3
69.15728,-133.0844,2012-03-19T00:00:00Z,0170-1-24,0.85,1,,No visible ice,SM,Sand,0.3,0.3,1.4
69.15728,-133.0844,2012-03-19T00:00:00Z,0170-1-24,4.15,1,,Pure ice,ICE,Ice,0.3,1.4,6.9
69.15744,-133.08618,2012-03-19T00:00:00Z,0170-1-25,0.3,0,,,ORGANICS,Organics,0.6,0,0.6
69.15744,-133.08618,2012-03-19T00:00:00Z,0170-1-25,1.45,1,,No visible ice,SM,Sand,0.6,0.6,2.3
69.15744,-133.08618,2012-03-19T00:00:00Z,0170-1-25,3.05,1,Vc/Vs,High,SM,Sand,0.6,2.3,3.8
69.15744,-133.08618,2012-03-19T00:00:00Z,0170-1-25,4.95,1,,Pure ice,ICE,Ice,0.6,3.8,6.1
69.15682,-133.09106,2012-03-21T00:00:00Z,0170-1-27,0.45,1,Nf,No visible ice,SW-SP,Coarse till,0,0,0.9
69.15682,-133.09106,2012-03-21T00:00:00Z,0170-1-27,3.2,1,,Pure ice,ICE,Pure ice,0,0.9,5.5
69.15691,-133.0928,2012-03-20T00:00:00Z,0170-1-28,1.05,1,,Pure ice,ICE,Ice,0,0,2.1
69.15691,-133.0928,2012-03-20T00:00:00Z,0170-1-28,3.35,1,Nf,No visible ice,SW-SM,Coarse till,0,2.1,4.6
69.15691,-133.0928,2012-03-20T00:00:00Z,0170-1-28,5.2,1,Nf,No visible ice,SP-GP,Coarse till,0,4.6,5.8
69.15691,-133.0928,2012-03-20T00:00:00Z,0170-1-28,7.3,1,Nf,No visible ice,SW-SM,Coarse till,0,5.8,8.8
69.15691,-133.0928,2012-03-20T00:00:00Z,0170-1-28,9.4,1,Nf,No visible ice,SW,Coarse till,0,8.8,10
69.15668,-133.09425,2012-03-20T00:00:00Z,0170-1-29,0.75,1,Nf,No visible ice,SW-SP,Coarse till,0,0,1.5
69.15668,-133.09425,2012-03-20T00:00:00Z,0170-1-29,1.95,1,Nf,No visible ice,SM-SC,Sand,0,1.5,2.4
69.15668,-133.09425,2012-03-20T00:00:00Z,0170-1-29,4.7,1,Nf,Low,SP-SM,Coarse till,0,2.4,7
69.15668,-133.09425,2012-03-20T00:00:00Z,0170-1-29,7.55,1,Nbn,Low,GP-GM,Gravel,0,7,8.1
69.16421,-133.0872,2012-03-21T00:00:00Z,0170-1-3,0.1,0,,,ORGANICS,Organics,0.2,0,0.2
